CLAIM_ID,ROUTE,COMPONENT_OR_FILE,EXACT_VISIBLE_OR_STRUCTURED_CLAIM,CLAIM_TYPE,SUBJECT,PUBLIC_VISIBILITY,EVIDENCE_STATUS,EVIDENCE_LOCATION,CLIENT_PERMISSION_STATUS,RISK_LEVEL,RECOMMENDED_ACTION,NOTES
CLM-PRT-04,/fornecedores/[slug],"src/lib/vendors/vendor-real-weddings.ts:91","Casamento no Evelyn Eventos — cerca de 250 convidados (Vânia Luky & Fabião Dimande, Maio 2026).",PORTFOLIO,"Vânia Luky & Fabião Dimande",PUBLIC,OWNER_CONFIRMED,"src/lib/vendors/vendor-real-weddings.ts",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_OWNER_CONFIRMED,"Evento real confirmado pelo proprietário: cerca de 250 convidados, Evelyn Eventos, Maio 2026. Renderizado em formato anónimo seguro até consentimento formal."
CLM-PRT-05,/fornecedores/[slug],"src/lib/vendors/vendor-real-weddings.ts:182","Casamento na Vila Verde — mais de 300 convidados (Jéssica Muege & Samuel Govene, 15 e 16 de Agosto de 2026).",PORTFOLIO,"Jéssica Muege & Samuel Govene",PUBLIC,OWNER_CONFIRMED,"src/lib/vendors/vendor-real-weddings.ts",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_OWNER_CONFIRMED,"Evento 2 da jornada do casal: mais de 300 convidados, Vila Verde, 15-16 Agosto 2026. Serviços: Web-Convite HAXR, Gestão de Convidados, Plus Memories. Renderizado em formato anónimo seguro até consentimento formal."
CLM-PRT-06,/fornecedores/[slug],"src/lib/vendors/vendor-real-weddings.ts:223","Ana & Carlos — Vila Laguna Marracuene (Registo histórico interno).",PORTFOLIO,"Ana & Carlos",INTERNAL_RECORD,EVIDENCE_REQUIRED,"src/lib/vendors/vendor-real-weddings.ts",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_REMOVED_FROM_PUBLIC,"Desactivado das superfícies públicas de marketing (isPublic=false). Mantido apenas como registo interno."
CLM-PRT-07,/fornecedores/[slug],"src/lib/vendors/vendor-real-weddings.ts:193","Lurdes & Fernando — Polana Serena Hotel (Registo histórico interno).",PORTFOLIO,"Lurdes & Fernando",INTERNAL_RECORD,EVIDENCE_REQUIRED,"src/lib/vendors/vendor-real-weddings.ts",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_REMOVED_FROM_PUBLIC,"Decisão do proprietário executada: caso Polana Serena removido de 100% das superfícies públicas de marketing. Mantido apenas como registo interno com isPublic=false."
CLM-PRT-08,/,"src/components/home/HomeWeddingGallery.tsx:25","Casamento no Evelyn Eventos — cerca de 250 convidados.",PORTFOLIO,Evelyn Eventos,PUBLIC,OWNER_CONFIRMED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_OWNER_CONFIRMED,"Substituído na galeria da Homepage pelo evento confirmado no Evelyn Eventos com escala de cerca de 250 convidados."
CLM-PRT-09,/,"src/components/home/HomeWeddingGallery.tsx:43","Casamento na Vila Verde — mais de 300 convidados (15 e 16 de Agosto de 2026).",PORTFOLIO,"Jéssica Muege & Samuel Govene",PUBLIC,OWNER_CONFIRMED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_OWNER_CONFIRMED,"Substituído na galeria da Homepage pelo evento confirmado na Vila Verde (15-16 Agosto 2026, mais de 300 convidados). Serviços: Web-Convite HAXR, Gestão de Convidados, Plus Memories."
CLM-PRT-10,/,"src/components/home/HomeWeddingGallery.tsx:62","Lobolo na Casa d'Artista Kutenga — cerca de 300 convidados (Jéssica Muege & Samuel Govene, 8 de Agosto de 2026).",PORTFOLIO,"Jéssica Muege & Samuel Govene",PUBLIC,OWNER_CONFIRMED,"src/components/home/HomeWeddingGallery.tsx",CLIENT_PERMISSION_REQUIRED,LOW,REMEDIATED_OWNER_CONFIRMED,"Evento 1 da jornada do casal: Lobolo na Casa d'Artista Kutenga (8 Agosto 2026, cerca de 300 convidados). Associação ao casal Jéssica Muege & Samuel Govene confirmada pelo proprietário. Serviços: Web-Convite HAXR, Gestão de Convidados, Plus Memories. Renderizado em formato anónimo seguro."
CLM-PRT-11,"/portfolio, /","src/lib/site-config.ts:351","Celebração Privada — Aniversários / Privado. Assessoria & Curadoria.",PORTFOLIO,Celebração Privada,PUBLIC,OWNER_CONFIRMED,"src/lib/site-config.ts",NOT_APPLICABLE,LOW,MAINTAIN_DISCREET_PROFILE,"Anonimizado por confidencialidade de cliente privado. Imagem associada é de salão preparado."
CLM-PRT-12,"/portfolio, /","src/lib/site-config.ts:342","Evento Corporativo — Corporativo. Identidade Visual & Convite.",PORTFOLIO,Evento Corporativo,PUBLIC,OWNER_CONFIRMED,"src/lib/site-config.ts",NOT_APPLICABLE,LOW,MAINTAIN_DISCREET_PROFILE,"Serviço genérico sem alegação factual de marcas terceiras específicas."
CLM-VND-01,/,"src/components/sections/WeddingAdvisory.tsx:31","Criação de ligações e gestão de contratos com os melhores parceiros do mercado (catering, decoração, som, luz e foto) com total isenção.",SUPERLATIVE,Fornecedores,PUBLIC,EVIDENCE_REQUIRED,"src/components/sections/WeddingAdvisory.tsx",NOT_APPLICABLE,HIGH,REPLACE_SUPERLATIVE,"'Os melhores parceiros do mercado' é superlativo infundado. Substituir por 'rede curada de parceiros e fornecedores de referência'."
CLM-VND-02,/assessoria-eventos,"src/lib/marketing/editorial.ts:238","Fixação do teto orçamental, análise rigorosa de propostas e curadoria criteriosa dos melhores fornecedores de Moçambique.",SUPERLATIVE,Fornecedores,PUBLIC,EVIDENCE_REQUIRED,"src/lib/marketing/editorial.ts",NOT_APPLICABLE,HIGH,REPLACE_SUPERLATIVE,"Substituir 'melhores fornecedores de Moçambique' por 'fornecedores qualificados e selecionados com critério rigoroso'."
CLM-VND-03,/tools/cronograma-casamento,"src/app/(marketing)/tools/cronograma-casamento/page.tsx:707","Descubra as melhores empresas de assessoria e coordenação de casamentos de Moçambique no Directório Oficial da HAXR.",SUPERLATIVE,Assessoria,PUBLIC,EVIDENCE_REQUIRED,"src/app/(marketing)/tools/cronograma-casamento/page.tsx",NOT_APPLICABLE,MEDIUM,REFINE_COPY,"Substituir 'as melhores empresas' por 'empresas e profissionais de assessoria recomendados'."
CLM-VND-04,/fornecedores/[slug],"src/lib/vendors/marketplace.ts:288","experienceYears: row.experience_years ?? 5, responseTime: row.response_time ?? 'Responde em menos de 2h', satisfactionRate: row.satisfaction_rate ?? 98",STATISTIC,Métricas de Fornecedores,PUBLIC,EVIDENCE_REQUIRED,"src/lib/vendors/marketplace.ts",NOT_APPLICABLE,CRITICAL,REMOVE_FABRICATED_FALLBACKS,"Métricas fabricadas por defeito caso o campo na BD seja nulo. Se não há dados reais, deve exibir 'A confirmar' ou ocultar."
CLM-VND-05,/fornecedores/[slug],"src/lib/vendors/marketplace.ts:137","Badges padrão atribuídos por categoria: 'Espaço Selecionado HAXR', 'Fotografia Editorial HAXR', 'Alta Gastronomia HAXR', 'Serviço Verificado HAXR'",VENDOR,Badges de Fornecedores,PUBLIC,EVIDENCE_REQUIRED,"src/lib/vendors/marketplace.ts",NOT_APPLICABLE,HIGH,REQUIRE_VERIFICATION_AUDIT,"Badges sugerem verificação e homologação HAXR concluídas mesmo para fornecedores sem auditoria prévia."
CLM-VND-06,/,"src/components/sections/InspirationFeed.tsx:60","Acompanhe a complexa logística de coordenação com mais de 30 fornecedores locais para construir cenografias e decorações de alto impacto técnico.",STATISTIC,Fornecedores locais,PUBLIC,EVIDENCE_REQUIRED,"src/components/sections/InspirationFeed.tsx",NOT_APPLICABLE,MEDIUM,CORROBORATE_LOGISTICS_NUMBER,"Requer evidência empírica de evento HAXR com envolvimento simultâneo de mais de 30 fornecedores."
CLM-VND-07,/for-pros,"src/app/(marketing)/for-pros/page.tsx:97","A HAXR Signature reúne os profissionais, quintas e criadores que definem o padrão de excelência em casamentos e grandes celebrações.",BRAND_POSITIONING,Directório HAXR,PUBLIC,OWNER_CONFIRMED,"src/app/(marketing)/for-pros/page.tsx",NOT_APPLICABLE,MEDIUM,ALIGN_EDITORIAL_TONE,"Tom de posicionamento editorial aceitável, mas requer salvaguarda de que o directório está em fase de curadoria activa."
CLM-VND-08,/for-pros,"src/app/(marketing)/for-pros/page.tsx:34","Zero Comissões & Contacto Direto WhatsApp — Sem percentagens ocultas. Os casais entram em contacto diretamente consigo...",COMMERCIAL_POLICY,Modelo de negócio,PUBLIC,OWNER_CONFIRMED,"src/app/(marketing)/for-pros/page.tsx",NOT_APPLICABLE,LOW,MAINTAIN_POLICY,"Regra de negócio confirmada pelo proprietário. Diferenciador competitivo legítimo."
CLM-VND-09,/assessoria-eventos,"src/lib/marketing/editorial.ts:133","Padrão de Lealdade Exclusiva: A HAXR não aceita comissões ocultas ou kickbacks de fornecedores. Qualquer negociação e poupança obtida em benefício do evento pertence 100% ao casal.",COMMERCIAL_POLICY,Lealdade financeira,PUBLIC,OWNER_CONFIRMED,"src/lib/marketing/editorial.ts",NOT_APPLICABLE,LOW,MAINTAIN_POLICY,"Cláusula basilar de deontologia profissional da marca. Declarada e confirmada pelo proprietário."
CLM-VND-10,/,"src/components/home/HomeVendorCategories.tsx:96","Consulte apenas profissionais com candidatura revista e perfil publicado pela equipa HAXR. As categorias permanecem vazias até existir pelo menos um profissional aprovado.",CONTENT_GOVERNANCE,Directório,PUBLIC,VERIFIED,"src/components/home/HomeVendorCategories.tsx",NOT_APPLICABLE,LOW,MAINTAIN_GUARDRAIL,"Excelente guardrail já implementado no código: bloqueia visualização de perfis falsos ou fictícios."
CLM-SEC-01,"Todas as rotas (Footer)","src/lib/site-config.ts:180","Os dados recolhidos através do RSVP dos convidados são encriptados e mantidos apenas pelo período necessário para a execução do evento, não sendo partilhados com terceiros sob qualquer pretexto.",PRIVACY,Dados de RSVP,PUBLIC,EVIDENCE_REQUIRED,"src/lib/site-config.ts",NOT_APPLICABLE,CRITICAL,REVISE_PRIVACY_DISCLOSURE,"A afirmação 'não sendo partilhados sob qualquer pretexto' é falsa perante o uso de subprocessadores como Resend e Gemini. Encriptação a nível de aplicação deve ser comprovada."
CLM-SEC-02,"Todas as rotas (Footer)","src/lib/site-config.ts:181","Respeitamos o direito à privacidade e ao anonimato dos nossos clientes de alto perfil, assegurando que nenhum detalhe do projeto seja divulgado sem consentimento expresso por escrito.",PRIVACY,Confidencialidade,PUBLIC,OWNER_CONFIRMED,"src/lib/site-config.ts",NOT_APPLICABLE,HIGH,ENFORCE_INTERNAL_POLICY,"Exige rigor prático: casais reais publicados no site (Vânia, Helena, Jéssica) devem ter o respetivo consentimento por escrito documentado."
CLM-SEC-03,"/convites-identidade-visual, chatbot","src/lib/site-config.ts:522","Ecossistema fechado com acessos cifrados (Evento Corporativo).",SECURITY,Infraestrutura,PUBLIC,EVIDENCE_REQUIRED,"src/lib/site-config.ts",NOT_APPLICABLE,MEDIUM,TECHNICAL_PROOF_REQUIRED,"Requer especificação técnica clara de como os acessos cifrados funcionam (ex.: links com tokens SHA-256 e HTTPS)."
CLM-SEC-04,"/convites-identidade-visual, /","src/lib/site-config.ts:460","Credenciação por QR Code individual com segurança reforçada para a gestão do seu evento.",SECURITY,Controlo de acesso,PUBLIC,VERIFIED,"src/app/event/[eventId]/checkin",NOT_APPLICABLE,LOW,MAINTAIN_CAPABILITY,"Funcionalidade técnica comprovada pelo motor de check-in com tokens criptográficos existente no repositório."
CLM-SEC-05,/,"src/components/sections/DigitalInvitations.tsx:131","Exclusividade Garantida",GUARANTEE,Design de convites,PUBLIC,NOT_APPLICABLE,"src/components/sections/DigitalInvitations.tsx",NOT_APPLICABLE,MEDIUM,REPLACE_GUARANTEE_TERM,"Eliminar a palavra 'Garantida'. Substituir por 'Design de Autor Exclusivo' ou 'Curadoria Singular'."
CLM-SEC-06,/fornecedores/[slug],"src/components/vendors/SupplierProfileClient.tsx:557","Garantia de Qualidade HAXR",GUARANTEE,Avaliação de fornecedor,PUBLIC,EVIDENCE_REQUIRED,"src/components/vendors/SupplierProfileClient.tsx",NOT_APPLICABLE,HIGH,SUBSTITUTE_BADGE,"Garantias de qualidade de terceiros sem seguro contratual expõem a marca. Substituir por 'Curadoria Editorial HAXR'."
CLM-SEC-07,/for-pros,"src/app/(marketing)/for-pros/page.tsx:211","Garantia de Privacidade & Rigor",GUARANTEE,Candidatura de fornecedores,PUBLIC,OWNER_CONFIRMED,"src/app/(marketing)/for-pros/page.tsx",NOT_APPLICABLE,LOW,REFINE_TO_COMMITMENT,"Substituir 'Garantia' por 'Compromisso de Confidencialidade & Rigor'."
CLM-SEC-08,/,"src/components/sections/WeddingAdvisory.tsx:36","Resolução discreta de imprevistos em tempo real nos bastidores, garantindo que o casal vive a experiência sem qualquer preocupação.",GUARANTEE,Coordenação,PUBLIC,NOT_APPLICABLE,"src/components/sections/WeddingAdvisory.tsx",NOT_APPLICABLE,MEDIUM,REFINE_EDITORIAL_COPY,"Eliminar o termo absoluto 'garantindo'. Substituir por 'para que o casal possa viver a experiência com serenidade'."
CLM-SEC-09,/assessoria-eventos,"src/lib/marketing/pages.ts:15","Acompanhamento completo, parcial e coordenação operacional para garantir tranquilidade e perfeição.",GUARANTEE,Assessoria,PUBLIC,NOT_APPLICABLE,"src/lib/marketing/pages.ts",NOT_APPLICABLE,MEDIUM,REFINE_EDITORIAL_COPY,"Eliminar 'garantir perfeição' (reivindicação absoluta irrealista em eventos ao vivo). Usar 'proporcionar tranquilidade e rigor operacional'."
CLM-SEC-10,/,"src/components/sections/InspirationFeed.tsx:30","...actua na gestão de riscos, blindagem do orçamento e na garantia de serenidade para o casal.",GUARANTEE,Assessoria,PUBLIC,NOT_APPLICABLE,"src/components/sections/InspirationFeed.tsx",NOT_APPLICABLE,LOW,REFINE_COPY,"Substituir 'na garantia de serenidade' por 'na promoção de serenidade'."
CLM-SEC-11,/convites-identidade-visual,"src/app/(marketing)/convites-identidade-visual/_components/InvitationAtelierExperience.tsx:233","Find Your Seat · Pesquisa de Mesa por QR Code (<3s)",PERFORMANCE,Find Your Seat,PUBLIC,EVIDENCE_REQUIRED,"src/app/(marketing)/convites-identidade-visual",NOT_APPLICABLE,MEDIUM,VALIDATE_OR_SOFTEN_SLA,"Reivindicação de tempo inferior a 3 segundos sem benchmark de latência de rede móvel em Moçambique. Substituir por 'Pesquisa instantânea de mesa'."
CLM-SEC-12,docs/legal,"docs/legal/ai-concierge-transparency-disclosure.md:35","Não Utilização para Treino de Modelos: Em conformidade com os termos empresariais da Google Cloud para a API Gemini, as mensagens e informações operacionais enviadas pela HAXR Signature não são utilizadas pela Google para treinar modelos públicos de inteligência artificial",AI_PRIVACY,Google Gemini API,PRIVATE_DRAFT,VERIFIED,"docs/legal/ai-concierge-transparency-disclosure.md",NOT_APPLICABLE,LOW,CONFIRM_API_TERMS,"Apoiado nos termos comerciais padrão da Google Cloud Vertex AI / Gemini API para clientes empresariais (Paid Tier)."
CLM-SEC-13,"/, /plataforma-eventos, /tools/haxr-concierge","src/lib/marketing/home-content.ts:104","O HAXR Concierge organiza. A equipa HAXR valida.",AI_WORKFLOW,Validação humana,PUBLIC,VERIFIED,"src/app/api/portal/[token]/concierge/items",NOT_APPLICABLE,LOW,MAINTAIN_WORKFLOW,"Comprovado na arquitectura de software: itens do Concierge requerem status 'Aprovado' por consultor humano antes de integrarem a base final."
CLM-STR-01,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:43","Organization / ProfessionalService / EventPlanner: name='HAXR Signature', legalName='HAXR Signature', url='https://www.haxrsignature.com'",STRUCTURED_DATA,Entidade legal,PUBLIC,OWNER_CONFIRMED,"src/lib/seo/jsonld.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Consistente com a titularidade da marca. NUIT/registo comercial serão aditados na consolidação formal."
CLM-STR-02,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:78","address: { addressLocality: 'Maputo', addressCountry: 'MZ' }",STRUCTURED_DATA,Morada,PUBLIC,VERIFIED,"src/lib/seo/jsonld.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Morada genérica em Maputo sem morada física fictícia inventada. Excelente prática de verdade nos dados."
CLM-STR-03,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:53","telephone: ['+258820883478', '+258870883428']",STRUCTURED_DATA,Contactos telefónicos,PUBLIC,VERIFIED,"src/lib/site-config.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Números reais operacionais e verificados em Moçambique."
CLM-STR-04,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:52","email: 'info@haxrsignature.com'",STRUCTURED_DATA,Email,PUBLIC,VERIFIED,"src/lib/site-config.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Canal canónico oficial de suporte do atelier."
CLM-STR-05,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:76","priceRange: '$$$'",STRUCTURED_DATA,Gama de preços,PUBLIC,OWNER_CONFIRMED,"src/lib/seo/jsonld.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Indicação padrão para posicionamento editorial de luxo e alta-costura."
CLM-STR-06,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:55","areaServed: [{ City: 'Maputo' }, { Country: 'Moçambique' }]",STRUCTURED_DATA,Área geográfica,PUBLIC,VERIFIED,"src/lib/seo/jsonld.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Conforme o mercado de actuação real da marca."
CLM-STR-07,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:54","sameAs: ['https://www.instagram.com/haxr.signature/', 'https://wa.me/258870883428']",STRUCTURED_DATA,Canais sociais,PUBLIC,VERIFIED,"src/lib/seo/jsonld.ts",NOT_APPLICABLE,LOW,MAINTAIN_SCHEMA,"Links oficiais e activos da HAXR Signature."
CLM-STR-08,"Todas as rotas (JSON-LD)","src/lib/seo/jsonld.ts:40","Ausência intencional de aggregateRating, review fabricado ou prémio falso no JSON-LD",STRUCTURED_DATA,Ética de dados,PUBLIC,VERIFIED,"src/lib/seo/jsonld.ts",NOT_APPLICABLE,LOW,MAINTAIN_ETHICS,"Constatação positiva de conformidade de engenharia: zero esquema manipulado para estrelas falsas no Google."
CLM-BRD-01,/,"src/components/sections/Hero.tsx:87","A forma mais fácil de planear",SUPERLATIVE,Experiência de planeamento,PUBLIC,NOT_APPLICABLE,"src/components/sections/Hero.tsx",NOT_APPLICABLE,MEDIUM,REVISE_HEADLINE_SUBTLETY,"Superlativo absoluto ('mais fácil') destoa da contenção de alta-costura. Proposta futura: 'A forma mais serena de planear' ou 'A assinatura do vosso evento'."
CLM-BRD-02,/,"src/components/sections/InspirationFeed.tsx:39","Os Casamentos mais Icónicos e Exclusivos com a Assinatura HAXR... que redefiniram o luxo e a excelência em Moçambique, das praias de Vilankulos aos salões nobres de Maputo.",SUPERLATIVE,Histórico de eventos,PUBLIC,EVIDENCE_REQUIRED,"src/components/sections/InspirationFeed.tsx",NOT_APPLICABLE,HIGH,REVISE_EDITORIAL_CLAIM,"Afirmação de ter 'redefinido o luxo em Moçambique das praias de Vilankulos aos salões de Maputo' carece de comprovação pública de eventos em Vilankulos."
CLM-BRD-03,"/, /convites-identidade-visual","src/components/sections/DigitalInvitations.tsx:68","Web-Convites HAXR de Alta-Costura",BRAND_POSITIONING,Produto proprietário,PUBLIC,OWNER_CONFIRMED,"src/components/sections/DigitalInvitations.tsx",NOT_APPLICABLE,LOW,MAINTAIN_CATEGORY,"Termo canónico proprietário alinhado com a Constituição Mestre e posicionamento da marca."
CLM-BRD-04,"/, /plataforma-eventos","src/lib/marketing/home-content.ts:88","A forma mais inteligente de organizar a caixa de entrada do seu evento.",SUPERLATIVE,HAXR Concierge,PUBLIC,NOT_APPLICABLE,"src/lib/marketing/home-content.ts",NOT_APPLICABLE,MEDIUM,SOFTEN_SUPERLATIVE,"Substituir 'mais inteligente' por 'método estruturado para organizar a caixa de entrada'."
CLM-BRD-05,/for-pros,"src/app/(marketing)/for-pros/page.tsx:21","Curadoria de Fornecedores de Elite | HAXR Signature Moçambique",SUPERLATIVE,Directório,PUBLIC,OWNER_CONFIRMED,"src/app/(marketing)/for-pros/page.tsx",NOT_APPLICABLE,LOW,MAINTAIN_POSITIONING,"Posicionamento comercial vocacionado para atracção de profissionais de alto padrão."
CLM-BRD-06,"/assessoria-eventos, /","src/components/marketing/AssessoriaManifesto.tsx:84","CAPACIDADE LIMITADA · ATENDIMENTO RESTRITO POR TEMPORADA — DEDICAÇÃO INTEGRAL A CADA CASAL",CAPABILITY,Modelo de assessoria,PUBLIC,OWNER_CONFIRMED,"src/components/marketing/AssessoriaManifesto.tsx",NOT_APPLICABLE,LOW,MAINTAIN_POLICY,"Premissa de escassez e exclusividade genuína de atelier privado."
CLM-BRD-07,/style-quiz,"src/app/(marketing)/style-quiz/page.tsx:265","...mimar os convidados com o melhor em catering, protocolo e cenografia.",SUPERLATIVE,Estilo Real,PUBLIC,NOT_APPLICABLE,"src/app/(marketing)/style-quiz/page.tsx",NOT_APPLICABLE,LOW,MAINTAIN_COPY,"Texto descritivo em contexto de quiz de estilo ('o melhor em catering' refere-se ao gosto do casal)."
CLM-BRD-08,"/convites-identidade-visual, /site-config","src/lib/site-config.ts:406","Harmonização canónica de pacotes: 'Prólogo (7.999 MT) / Elo (15.999 MT) / Legado (25.000 MT)' (legados 'Essencial / Signature tier / Royal' descontinuados)",COMMERCIAL_INTEGRITY,Preçário e pacotes,PUBLIC,OWNER_CONFIRMED,"Decisão comercial explícita do proprietário",NOT_APPLICABLE,LOW,MAINTAIN_POLICY,"Preçário canónico e nomenclatura aprovados pelo proprietário: PACKAGE_NAMES_OWNER_CONFIRMED=true, PRICE_OWNER_CONFIRMED=true."
